protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,5.93436713793712,5.52011076687263,6.67010691949431,6.68003091577898,6.22235277559527,7.37803907264731,5.68185409782358,7.61881729607372,6.35673054707139,7.76947808912898,5.13211512898874,8.57630314270157,5.41916129190239,9.64584267967833,5.63645112307824,5.94065658351989,8.34167816862916,5.05773705354233,5.09446277746314,7.91109140184707,5.70570268230481
2,5.34735776026864,5.29262185671405,5.83139962740373,5.3103254465013,6.23770364145769,6.63224679405603,4.38820828715177,8.60048896931381,4.53935401025727,6.16281282408107,5.66987788282293,7.58398325045756,5.05651086669215,7.3326189403131,6.02532377427581,5.68624989375085,6.22781470150662,3.7823899915653,5.2955215848934,6.47915526728784,6.06836110952147
3,6.95324668866895,5.18574166918376,6.60492328377833,6.9457842769318,7.89751278621459,7.55042802126144,6.521808705985,7.21517577535454,5.7662782726557,7.2880131803306,6.16780769114726,7.26170353767609,6.84556595323732,7.48611605355977,7.19504357297728,6.42402722562172,8.17853261139909,7.03177022195767,6.91003748239247,8.12403186260671,5.19086957954015
4,5.57086034033228,5.63788006037049,5.90355352345007,6.02318375092414,5.43798249775353,6.11710184619937,5.2547081098059,7.48020859967524,5.3986731188727,6.4590214194301,4.83334307926836,6.84209388635198,5.05750630427907,7.11398388220202,6.12517784461253,5.38994100315018,6.67524857875755,5.34910266328603,4.57175918901453,6.85295298954346,5.6749358955377
5,5.61405930625563,5.44123148302634,5.76475232853681,6.00803255545268,6.56644979006707,6.55271580830162,5.51655718966393,7.14611845419277,5.49956875070873,6.68647613128923,6.19676428461948,6.96088760859861,5.17426428491199,7.45009636149584,5.25864561692484,5.90539105649059,6.41042178427526,4.82181910843304,7.00776335359424,8.17866075230878,6.48850179203491
6,5.82892853936895,6.24773409597286,6.59785617691974,6.12613105638641,6.0370760471453,6.93292360919984,5.80925335193416,7.66531965854019,6.83535312022336,7.58538103333106,6.04824735029281,7.24148790266264,6.01486435605973,7.38734068566308,6.30930318358089,6.54174318026733,7.6243123411531,5.45272596959948,5.74452616064518,7.97979958254592,5.66886930816806
7,6.62433393186893,6.13277876266554,6.44420654491891,6.19095385188148,6.61140504577657,7.12197027663382,6.60203003317383,7.51883187644097,6.76637153946013,6.49563167027613,5.65499913002029,7.38363257752132,6.35901168754482,7.65825530786356,6.82352913029767,6.25122276365042,6.97525795725939,5.22484335270307,6.37981788768367,7.5710958971146,5.95378390341124
8,5.47373299077107,5.61739175021798,6.58819729379465,6.63589013732832,5.69145102947421,6.19757857116106,5.46592024245822,6.03098210107166,5.99494600916112,6.28516832479933,5.53361351634908,6.39035488104411,5.80328708316944,7.02177290220869,4.7680448810629,5.93936834086655,6.65997767521332,4.50341172216389,5.6227881638105,6.31978753616683,6.11904090321157
9,8.08472019913068,7.92095977664769,9.66134553596536,8.12462753101793,10.4020697638498,8.83326764962607,7.6841959990825,9.81964829730864,8.04536081955721,9.9265934633503,8.02321788992676,10.3216120499694,7.69521484459049,9.06432564150394,8.66680318150095,8.4801787559578,8.02841798425106,6.16529917433345,7.66323295702035,9.71671927297758,10.261770078572
10,7.28290559681199,6.6001760261644,6.39266458915698,7.09454671435964,6.33120749843354,7.50662029017788,7.23177913269056,7.0751073743157,6.65250884241496,8.16451418576996,6.27923567138792,8.87723410605695,6.2083826832552,8.29493411029025,6.43979324185206,6.9264097520219,8.85400729955657,6.18666254440585,6.81368612960195,7.57467045686269,6.86610489484512
