protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,19.5617245622575,19.6269643955423,20.0490348282347,20.3936637335219,19.6840182498349,20.7920234047797,22.163206567119,23.5862401081741,22.1488453082517,23.8224285088386,20.8744472274763,24.9279947159146,19.7397268420518,24.3167890417937,19.8298550728777,20.3239498271592,23.026062504337,19.827532637115,19.7454782484721,22.7188144834793,19.8248834653541
2,19.4335807717467,19.8583410725414,19.6691931233018,19.4828238514019,20.158234702855,20.5050967133461,20.8912057278255,24.5895567527925,20.3531137428159,22.237408215169,21.4338549526888,23.9573197950489,18.8965658583056,21.5230547438925,19.7382171655393,19.5890325788542,20.4316884786785,18.071675016602,19.4660264973664,20.8063677903841,19.7070313340348
3,21.4699964505879,20.181987635452,20.8732435301173,21.5488094322733,22.2485705980528,21.8538046909924,20.245413236527,20.4248506487015,18.8006450950826,20.5832156612868,19.1523918508814,20.8556471721357,23.0344871045416,24.02541801683,23.2568031239316,22.6756760704159,24.7312725482618,23.6699214066852,23.4294085545563,24.8001105453938,21.1784059637443
4,19.6334496437174,20.1799655681049,19.7177133112552,20.1720484477318,19.3348798510579,19.9663180573965,21.0184879390781,22.7300587717524,20.4732152400298,21.7943991991165,19.8581025377327,22.4762128195418,19.660412615387,22.0672710052759,20.6009225553705,20.055575007748,21.6419736754239,20.4012390078172,19.505115420982,21.9430168321342,20.0764574395455
5,18.9676252284324,19.2742936095524,18.8698887351336,19.447873871052,19.7543237621631,19.6929086382904,21.052958590786,22.1685901981198,20.3467324437157,21.7944754828255,20.9941453149337,22.3676281136383,20.7135724053784,23.3397852939282,20.6707921370413,21.5074268704469,22.3135486903001,20.8103572623227,22.8775213949202,24.205126404258,21.8264251454012
6,18.9973315981908,19.895633359144,19.5178297201616,19.3808095086308,19.0397871558864,19.8879535758337,22.5157536342598,23.8578902836708,22.8526156944339,23.8634792660709,22.0157272618106,23.8183272889059,20.5692364586775,22.2920936002468,20.7365136858487,21.158842976375,22.5425032293293,20.4563281056405,20.6293481841225,23.0213292166465,20.0218566436857
7,20.8435111884411,20.831452223587,20.4149542859111,20.4964065018762,20.664890352268,21.127774441018,22.2407600344061,22.6436322204782,21.7158638325773,21.7059596219226,20.5547087604447,22.8927016826712,20.9303798735056,22.5800043057903,21.2677357159085,20.8853186431011,21.9104449287786,20.2454415720871,21.281635994504,22.6296216145582,20.3237673222719
8,20.7947199128201,21.4178748766163,21.6607547002637,22.0431524527999,20.8467460014425,21.3051924010221,20.4073547981562,20.4584869995746,20.247142856744,20.7982008309115,19.7360277012392,21.2021285406597,19.9701410491877,21.5390076801929,18.8077372467312,20.1689500003747,21.19065042679,19.1194957216054,20.1200920506883,20.9737990336679,20.0845101021297
9,23.6779201444884,23.9936559263547,25.0061159657431,23.8041028697982,25.8295777591268,24.2130945027958,24.1947383389102,25.8162609799413,23.8666654512698,26.0087337535922,23.7947398589466,26.7024934937147,20.0207480031703,21.7402396120497,20.8651747397308,20.8684396080275,20.7177699283893,18.9400623663365,20.3192160364597,22.5294099630402,22.3859184700517
10,20.467644294096,20.2644109277977,19.328973770861,20.3655608050662,19.3502542456368,20.4779858952739,23.6124807590189,22.941879343449,22.3439727606282,24.1168137625125,21.9209169269084,25.1282748363029,21.0722178034081,23.5091500424091,21.176466761655,21.8529725656647,24.0816612052679,21.499727697982,22.0079711706144,22.9256631084984,21.5285552478979
