protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,4.13139434720214,3.77372216040367,4.72741741823458,4.72032336355376,4.36194991115022,5.34894535863953,4.52695114679077,6.66182849741234,5.2016303527678,6.61957063767241,4.21074393885188,7.5284833486282,4.20923421601031,8.6182306873376,4.57266294192904,4.70286283483167,7.01287109310478,4.01734432175654,3.88614047982761,6.64771785613213,4.55205070704462
2,2.84220245496124,2.74719805271213,3.36055434876708,3.02826277062965,3.68650781299375,4.00833911048356,3.12056807071098,5.75766828977606,3.18234126309449,4.87159726600933,3.23920617049489,5.30780736778631,3.03006944758538,5.13377903822659,4.26000901174149,3.61173775050998,4.46256011962046,2.5497308249555,3.290656494335,4.52558214340951,3.65294907506212
3,4.8264315181457,4.45149686531812,4.4178076265041,5.74655215319385,5.00322667391865,5.12208766315234,5.16446633627475,6.16607982449185,4.61863172875358,6.81249076469697,4.85478598734168,5.95246794139304,5.2420089993144,5.8878139608493,5.3648225111368,4.85250170975828,6.41889915640575,5.11771088307444,5.10295832777915,6.5246295964498,4.26437004353617
4,3.95138636924719,4.03916508904317,4.28759409231208,4.50965652136006,3.89481116607639,4.36213186666715,4.09772368440534,6.24594247319515,4.09524272958855,5.51950306379918,3.81499635984407,5.4280906791297,3.89431407251116,5.91883044521009,4.91377248726141,4.34244588150767,5.44717171212194,4.13551598432242,3.41786175300771,5.81289246843824,4.5661858383364
5,4.18704499367409,3.99396520819741,4.40435501646339,4.56201806112488,5.10333260380656,5.01752294925717,4.23580260660577,5.88712408504699,4.66424335694318,5.41334360874712,5.28731394984093,6.05038540648301,4.1136678331335,5.99206525113822,3.95581857470794,4.95235575839229,5.36202908614792,3.97458231780621,5.50136366217715,6.66520733666309,5.11974943837303
6,4.02511631169017,4.47791264655476,5.03833798266486,4.51844719354621,4.29982245932299,5.0803836626533,4.50699277112858,6.56787385905174,5.32129242624086,5.77378838634273,4.63878399006286,6.06770715486146,4.48922433380511,5.91843228883453,4.63739482264274,5.29902321539302,6.24845525053836,4.19031183316797,4.27093602629352,6.66782079376929,4.50450994406577
7,4.94784727912978,4.50785684213874,5.00420465934537,4.55325467146891,4.94504395243294,5.45275701414092,5.28655703419541,6.3467256931303,5.52019965120606,5.39017279985668,4.44439156854089,6.09100407538375,5.39467706293314,6.50259540044175,4.994120026288,4.53983409376284,5.92394036022291,4.33987400468223,4.41683552116504,6.37129866676454,5.46133613924947
8,3.26480334461833,2.98154663994614,3.78979347449517,3.72574782857816,3.27738051196666,3.70470537501164,3.55603604968805,3.84376655152162,4.30645139164102,4.43776744926832,3.91974696193501,4.55137049848685,4.32896902072045,4.62666055686156,2.97151907270714,3.74970040442111,4.47479829812583,2.26571288016841,3.19005108219652,4.90476212574836,3.84862925867653
9,5.51763709486878,4.96177283157015,5.36174649447267,5.36769378577766,4.56909930040732,5.20436433821447,4.48289324097579,6.66475283650135,4.82879756833215,6.58479228409287,5.64744962587145,6.86360445398553,5.10912971787024,6.69717979772044,5.63442762736053,5.38696489177958,5.88519881988989,3.70356456844292,5.070028819844,6.59465740155027,6.7096983941289
10,5.34061525701138,4.65762341232762,4.4576062286123,5.07526687452726,4.57403125899095,5.39264976371363,5.11945304840191,5.46439496608006,5.16480526179996,5.89198309228137,5.23897240525481,6.75673145438,4.46912436271066,6.51289266179804,4.62137712589066,5.34483947075624,6.95665455477803,4.37722577925686,4.95884410776729,5.87990348584316,5.01256389551515
11,3.98309016735532,2.53079453846813,2.71602191925613,2.73862700260559,2.88070240870993,3.28251899301772,2.83129736477162,5.20460586789242,2.96905297943367,3.31088466187274,3.71573010223748,4.58276776786247,3.67229220537209,4.23435610010832,4.10882721002271,2.5965637448395,5.21456848405709,2.40990738807117,3.53603964033581,3.72357459075845,3.05696442077091
12,4.04531565500532,3.01284452866584,3.19739239008446,3.71646155177903,3.44291651942024,3.41316815943071,3.65528028410359,5.40635152883788,3.00474052968277,5.32427249122514,3.58149499244231,4.21825447427156,3.00385646307777,4.73323763123437,3.80695449598464,4.24799627761575,4.76793623013823,2.79220013257722,3.0838101517182,4.8973780198758,3.46728664544366
13,3.14621919121779,2.40450388452894,2.69151260179457,3.58588773357621,2.37773434252057,2.63832032528341,2.57663919930994,3.95912312013101,2.12044241424444,4.50457745136503,3.50067790653353,4.94195701760225,2.7054290209794,4.34967763574287,2.44485959103745,2.34829226138702,4.65752464577368,3.75104322744609,2.60625888841925,4.55170727091208,3.13994044118598
14,2.96775766451751,2.68232193352874,2.74077938934653,3.14664653480413,3.64835978647212,3.13194984563653,3.14820930161889,5.22832158766608,3.85867998550507,4.9322246038435,3.07952806061999,4.89919456967349,2.8830118769375,5.51712647785982,2.93647448963777,3.84791813669836,5.40492170625043,2.37821730126925,2.96871438880265,4.70152009682562,2.76830603845027
15,3.63921602315232,3.28481256363337,3.30973867348897,4.3824432904184,3.02969868727302,4.32353812535685,3.68766331860248,4.95199900341601,3.36640884191951,4.4580154714711,3.62031152794097,5.32100819221898,3.4525355057324,4.7700604714767,4.33927314043699,4.24560629895651,5.24913166274735,3.13917499074571,2.77672484026543,5.12190350144382,3.32838081180183
