protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,4.75715961305743,4.39092800584942,5.52368219621656,5.50363946421094,5.03031199199259,6.11852339719501,4.31419478741986,6.38356418504849,4.96863780341886,6.42144721034945,3.91747763967811,7.2627454525591,4.08376901753025,8.66977916395442,4.4928467964984,4.58609892587298,6.87252581292519,3.90100390174546,3.7538383466177,6.51170275620775,4.44814259696013
2,3.39288861073889,3.2970898055586,3.92128693843593,3.60452015706847,4.25093543852417,4.57583161213004,3.040846410571,6.2581120728833,3.06926936974426,4.61397799957855,3.55295919639901,5.46354771741136,2.95257170063851,5.10906371995114,4.30217282112585,3.58867404291572,4.39242610633164,2.47761587834656,3.24178318809773,4.46319674595168,3.63460133161408
3,5.03075662071,4.35207053514956,4.62648717341821,5.72440538103951,5.59703937343624,5.45787066569588,4.52949638622733,5.57550538722543,4.00376979303316,6.10111210990792,4.22990100911291,5.33124012977484,5.22100751434277,5.70852053672262,5.21961188561191,4.70369112035015,6.27969560509513,4.94698818987675,4.96922675381062,6.39670984884952,4.1452809743213
4,4.31225665605493,4.35820924534039,4.62603836335441,4.81575731555573,4.21799540234432,4.72901263504163,4.01221762324754,6.19138339284475,4.05280190838487,5.3541189018376,3.6729455842296,5.43597211958532,3.79763621540837,5.84419172709628,4.84702262299731,4.32597832084171,5.34114234302226,4.0155157452046,3.29765356440065,5.77623529730565,4.50036311152821
5,4.30420636274251,4.10755732116268,4.48955037936445,4.67083277236065,5.23238423364124,5.15947999814341,4.00684991495758,5.59907873817562,4.27065892911888,5.16605644374412,4.87296157696609,5.67381244981755,3.95371285512149,5.90610164735083,3.79627966397523,4.98914406142089,5.24533487694214,3.89574698438092,5.51788148868598,6.6696672002362,5.13162663130893
6,4.33822311955329,4.75042980101778,5.29098821051617,4.76447132364832,4.57328875590621,5.42024478418015,4.46301962339734,6.53775839346162,5.31348172769506,5.8080799095137,4.59962972205148,6.00021094972326,4.40305291712612,5.8382412692877,4.55440867564845,5.32376431894878,6.18566619291537,4.12839271054308,4.20844685817607,6.66299497765309,4.52596019571216
7,5.36662925361136,4.8999737502437,5.46346059132055,4.96480825240919,5.33409745896057,5.85459700346563,5.26119810825341,6.263394667278,5.47297077543625,5.27722970384123,4.3479878759887,6.04333677031326,5.41619992283908,6.52055575961635,5.00135229931697,4.49514465388435,5.90004037316804,4.28659105077105,4.36015945923633,6.41078845191612,5.55118979071072
8,3.62005991281916,3.50107436502941,4.3669742194475,4.35108938723035,3.71458381002205,4.15885405391806,3.34641050450147,3.55234827662524,4.07082991863894,4.18014583450948,3.69876863412661,4.2338320837217,4.48458919337619,4.62089175813672,2.94334842656056,3.75173353011309,4.48094191417978,2.14177714323053,3.1156795736347,5.03825469502101,3.92142691095463
9,5.68170628202627,5.34257176775854,5.71746631720222,5.69217428616821,4.96214548493318,5.45878263020675,4.75750363076913,6.80549299123048,5.0369285720423,6.81775778579189,5.74637288218473,7.15368341396262,5.15743239944191,6.81049063943687,5.65593833282703,5.42971205567432,5.7442281489384,3.43820319084196,5.0564991708386,6.62102447373377,6.96169568303908
10,5.50550138242061,4.7636138800961,4.73201067605996,5.31482573316804,4.75294989383984,5.61838507335723,5.07338108108536,5.20861981502267,4.94907937323481,5.86776512208539,4.95012693223479,6.72177521257533,4.37845623654699,6.43747404875152,4.53233109262126,5.3095392743839,6.87681364571259,4.28173060387819,4.86735738946357,5.80704006929118,4.9352879384771
11,4.10101408639872,2.58797729769837,2.74666141122391,3.06552452203784,3.18628950217798,3.46978568037087,2.70925972883906,4.79129980072715,2.70152732095441,3.09701288851409,3.37127730042158,4.15276927978309,3.57020982464801,4.1293015017931,4.20052036276082,2.67902210700375,5.23009295677021,2.30506238954226,3.52507348812379,3.71809026835609,2.54776631982726
12,4.39470584545369,3.3832600791342,3.58827196126128,4.38295798386667,4.07198143477755,3.99622202393213,3.5826126822245,5.48994325907982,2.97653361629695,5.35531173656197,3.454604122675,4.04701680680468,2.96305271249301,4.68807991194387,3.7980514009477,4.25623315371499,4.72303609636798,2.7494047080027,3.0405938796141,4.86382152366747,3.44854385142838
13,3.59475309173305,2.65101183376192,3.08039152456892,4.08796435484549,2.76038593153669,2.97592578704016,2.11766631362436,3.40680708963037,1.72573214791218,4.02098010221686,3.09374366289274,4.46392652902871,2.61890863581508,4.25372012222818,2.33102292154335,2.25708095357037,4.49202815230412,3.56251979270203,2.46664303375428,4.45046350398289,3.11460508884005
