protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,1.72078594824036,2.56533357499121,3.06459518978172,3.12764444675939,1.73562627740235,2.44152152490471,2.44702659996396,5.22783199335329,2.43044345623642,4.61914716201673,2.26902131154241,5.63623354490336,2.34164319036015,5.76126328902382,1.90043338825844,2.59849744459183,5.28894618091088,2.36088316660283,2.42789767452784,4.80944677587768,2.32483499446394
2,3.2073467777443,2.0975196432484,2.49221484486977,2.65817832543498,3.04395905651112,3.1837469393823,3.89020964204378,4.7937161170778,2.74856239129596,4.66463782576167,2.16670174746497,4.28344800354822,3.01513898795916,4.19751874913728,3.03655680263687,3.88765064592569,4.33917514284959,3.18825656338145,2.46787768769774,3.85471895969722,1.5419577432809
3,5.85225416951191,5.4673586548016,5.50573658993693,7.19573448846209,5.62553599290025,6.52366602289775,6.29768455145849,6.48260163828479,5.7476724541845,8.10257440546991,6.14918812195175,7.06779433737046,6.13796954476408,7.06224215592572,6.86682987480019,6.16158408995541,7.69055743704813,6.08809545036063,6.19778670764708,7.54166069945249,4.59495254234315
4,2.66364585959702,2.69029869726816,2.78964813047661,3.17202613839783,2.5877730112061,2.61713693534308,2.68036930818527,4.9208278707207,2.34209930967427,4.4402627247802,2.44086437285023,3.92239806067771,2.6015344675395,4.45472413477014,3.285211310848,2.49484923367406,4.23284291592122,3.22571991411229,2.28657550344365,4.25159278922323,2.75387475516539
5,3.4703347953256,3.50908592676034,3.95090432701897,3.78527812174279,4.03630899117366,3.67669527425183,3.56970186612021,5.1982061685155,3.45201734275685,4.79697549302675,4.15178740739666,5.02401551793489,3.29094145070474,4.45208758707022,2.94933571785315,4.62911590520841,4.76343080798247,3.65280874669653,4.42159921628113,5.47820490701953,4.20679206141136
6,3.26632080005172,3.56667776429148,3.24071044436721,3.7238452725281,3.2479249287457,3.18320209396777,3.90475126023604,5.45872589276691,3.40589813234441,4.34689686869642,2.72787772121097,5.01762151038674,3.56119035377434,4.61092584139892,3.57545845980983,3.62534579250187,5.0280773462752,3.29282860759086,2.8735370494015,5.07735290377482,3.1023964373883
7,3.20670660013665,3.19963923968959,3.04449774769216,2.77647342423534,3.2634148780937,3.50986249595486,3.54176755604376,4.63102804244434,3.66596884574803,3.85750681870742,2.41104142228144,4.33234227677393,3.78450642396907,4.67633337610017,3.19042261480778,2.46718605369651,4.24063699370268,3.1431046828346,2.88807481752527,4.61991574254563,3.52968792546217
8,0.896036527529835,1.36076761955016,1.17216681908108,1.40211789660288,1.1206743725282,1.17161983071238,1.13292698031689,1.69786408115392,1.77188274643623,2.40607388537943,1.36447235496236,2.57193419929829,2.07873185643714,2.32870708424176,0.449882558206931,1.17858311377936,2.34800467400613,0.562829354668265,1.36142494527194,2.54388240398474,1.44424207847593
9,3.07423529892343,3.69877769949947,3.97748151494985,3.8482199098115,3.66382376704654,2.95868285379276,3.40005899226529,6.12925452938945,3.92465140328343,5.62472778480973,3.51438896136156,4.89976019583095,3.52037122245914,5.62774802743002,3.84294713941193,3.5616314062648,5.55089262319001,3.20131611824786,3.80082359305748,5.24026148965838,3.45598598000007
10,4.13070131265969,3.79234490336104,3.15702298545095,3.95704391327308,3.29770049758881,3.96714928224873,3.80870108370372,4.33375757590481,3.63180469900611,4.64628525089683,3.94270815677715,5.29067380321227,3.15735142540706,5.06166879245371,3.3701831965987,3.63796003012378,5.43787473624555,3.71473480585307,4.00331419735344,4.54848177145041,3.81566505426706
11,2.22869976841732,1.24492264313192,2.03402793296186,1.29519625691842,1.40772707755092,2.0778346570477,1.78272836758719,3.45471347069265,1.91174561594631,2.37055677376018,2.06207454537326,2.59145848280574,1.78136701626059,3.21913344538101,1.67763454325323,1.38725828960386,3.15832798904555,2.24251147010935,2.13241789580496,2.74329646353531,1.59498254650218
12,2.1306573018462,1.96992351976544,1.43904317285184,2.76126075610946,2.36188505699679,2.50491247646178,2.00797264154457,4.0906360782821,2.13404767576796,4.16580456999946,1.48551212067877,2.83438578809843,2.38870401823234,3.12031150934964,2.27076908915795,2.72937736762671,3.43725791407256,2.00900108099371,1.94122085429046,3.54027101082118,2.00415031382873
13,4.24938764429421,2.51324337844563,3.7328117272307,4.67660136376259,3.14248642233689,3.16925832508943,3.44236136407103,4.82149621967121,2.22907892935956,5.34054305004305,4.98520639106734,6.12085649747584,3.38321505722778,5.28975389751199,3.23845047857537,3.07276823695802,5.77048427601077,4.47047422569697,3.33562409772485,5.37023290635928,3.80858077574589
14,4.31343884628688,2.91291235557557,4.29991460036113,3.90349525901275,3.11409931365963,2.11191685540967,3.56000531951566,5.78758278426969,3.88772096565339,5.66385493695673,3.82788277241914,5.47125521225001,2.87516513000008,6.34383165242988,2.98683390298344,4.19010389586909,5.50326759027514,3.60386670099079,3.41684344853867,5.49673227640965,3.25620122962627
15,1.97809471808325,1.6843439496936,1.43768715176985,1.91997532003262,1.47456683892155,2.05302448375118,1.74278912201283,2.62492091480922,1.83064822823528,3.2635681920762,1.52574829986045,3.30581700410347,1.51284239073526,2.94012018920429,2.24077372066914,1.55570750084965,3.22666253104098,1.83688689346958,1.6629986639685,3.14374230747029,1.27476663796294
16,1.91600088541802,2.43935486685343,2.68113587173054,2.7720873015765,2.40917015133136,1.29697441169243,2.05829783919045,1.06359887413557,2.51641976329109,0.764000417122991,3.02459048687972,0.426592577462923,2.33210863633308,1.13817369229634,2.13808473045685,2.68456274621099,0.637500879780661,1.60133067259643,2.60139240985698,0.932824341197377,1.92502202434078
17,4.03702634063293,3.7206619744702,3.96246280500521,3.62187831349568,3.38049066382605,3.04230281474725,4.32772305227241,1.50288869160602,3.76326026290089,1.23800394640468,3.55364060342549,1.16339130447588,3.9820625184021,1.27443914109387,3.72330823467164,3.01602003394681,2.15728455190466,3.64388452447364,2.89232638895945,2.07020138970348,3.77700279092883
18,2.56694406058246,2.44914241369111,2.0070153314228,3.00697296011421,3.2338033818913,2.22009039475656,2.02821051488981,0.456483372223176,2.84948944547708,0.292576975996244,2.01886925482137,-0.31358750535298,2.56997916390804,0.403112041348876,1.96599929151108,3.39686253099468,-0.18126408583263,2.69187176723367,2.04805795248625,-0.597930086632754,2.96966413335428
19,3.28473262954516,3.98904365483717,3.20156458540728,2.69708025024981,3.0876989544871,3.43812978987574,3.56192739050358,1.03418083404339,3.60759466446355,1.04417019937162,3.76292224279056,2.02125268854979,3.07456182409858,1.99314192879175,3.48370603409033,3.91888200788616,1.36534687659969,3.1291580833354,3.45213564999002,1.7638559355758,2.32829884066139
20,3.58111297687816,4.02012391910496,3.16896826972193,2.64927858843172,3.7867335780546,2.63762433194227,4.02293783967485,1.80057764911205,2.96316421360694,2.15361092104608,2.82090284983962,0.857454335696022,3.09879984109198,1.35371302929368,5.19389345170267,2.35447883515602,2.61115826524589,2.90587149070003,3.12908443668421,1.80696832618781,3.34712475835582
21,2.99310068033536,2.67690121245048,2.75362229125408,3.31770631519233,3.93167979667845,2.68273098341027,2.87482014743467,2.85261341844839,3.58988546643784,2.14443106198151,2.78221490390799,2.73493500141921,3.45076299380551,2.29255884409536,2.63832573426511,3.84372277524517,2.14342264373938,3.19002519030872,2.92034554392037,2.78538498827471,2.84376120932805
22,4.76076100812548,4.39265348319059,3.94848112600638,4.57379505479727,3.86345842189866,4.01748361586038,4.60269412906483,1.19212949084156,4.07425790900256,2.76177709637685,4.64168048323376,2.48411511141717,3.53890216380471,3.52564277727387,4.55400246610804,3.57275381202495,2.57317273187586,3.91519384771181,4.14728860134037,2.93838172434721,4.50998119151042
23,3.42417322112742,3.37452196671945,4.63645324017814,3.436958303535,3.3992371179917,3.57268548835745,3.49131202265537,2.26466943656268,4.57740402327329,1.85031935548604,3.93174377492192,2.26998172167655,4.31824580110869,2.71505472179345,3.26772877469681,3.18879787956442,2.3876721762666,3.2266727800465,3.95826405799025,2.3835221511214,2.96061392454047
24,2.64494411317466,1.89812564708315,2.30069694471781,2.75276700839436,2.25838239624558,1.87228418353375,1.94936558438145,0.641497601266415,3.09177666045137,0.542743580976482,2.63466974880614,0.638042064372618,2.47215581174162,0.906468939079429,1.76374419212275,2.30060059033356,0.585035280730096,1.97841499302917,2.95920568809752,0.588841520192896,2.10520847045371
25,3.17835634919704,3.2916643026196,3.60433460856303,3.55780684794867,3.29227958601733,3.05229050845891,3.46386730340261,1.72663250824415,3.38955539652688,0.907893508167529,3.87236020275492,1.74187425673888,3.47516396072041,1.79948300053377,2.94862236204606,3.23780000961051,1.75490488330865,3.70030207188415,2.99423385294127,1.77421220786587,2.84797123875352
26,6.1310007397822,5.38887079466314,6.03601570543099,5.36231271047384,5.03801625106125,5.30865932825916,5.8129203991046,4.02940146795747,5.76435330472168,3.49980493678139,5.72133241420794,3.66678227160171,5.81623313932397,3.44937206285923,4.57314701980242,6.87707510983961,4.06518875673221,5.4403003258712,5.37587959010288,4.19226224706467,5.41718468463516
27,3.84670162625722,4.0010373883016,3.52480883959976,3.39646540466665,3.227333656229,3.83604229730987,4.43984599475486,3.14344333008522,3.08035139468568,2.16090640583857,3.95652094399575,1.50550049870587,4.76035168835431,2.13750540854269,3.49600458883155,3.09571295038434,2.15547032813885,3.21332456655391,3.30840612745536,2.93269553403966,3.60889922832503
28,1.52296687613385,1.85363381982565,2.34229176091469,2.48031363849438,1.88081767604898,1.19486278130642,1.65195910507896,1.59533451688147,1.86473380828594,1.12430590903301,1.73353593565838,0.591823726155182,1.49690833828153,0.542159903095919,2.46439601859733,1.96244373687273,0.826673912542441,1.22645023752629,3.05200992801281,0.670207079592195,2.06109308463667
29,2.76733485591536,2.06210579760769,2.28879849919465,3.13140028365404,2.58517998522566,2.39992900243327,3.06530109670969,0.669161090486753,1.88157685461917,1.23587843898409,2.34392295352324,1.48051091948523,2.55321467700839,0.955808977297133,2.40060957372942,3.33453426334986,0.980493814057549,2.30331986053643,2.81405095002108,0.629898465885322,2.20778926211324
30,7.1215607933236,6.50014355549973,7.65436992961338,6.38282320465347,5.83402748396737,5.86431507154862,6.28992207019635,3.84656383901081,7.1628970932226,4.342783321711,6.51737743946976,4.56049433702089,8.37964943243923,3.58305092628376,6.48056351097493,7.13706750444401,3.44658657580883,5.46066896811422,7.00501891842535,3.65793580444102,6.04091332759768
31,4.61440508092001,7.55551345780033,5.8935203946007,7.99720857746191,3.78398070210376,6.28283013590918,4.97799238229865,3.91151381854864,4.9652306580605,5.01074166025077,4.56030856170665,4.30664975206897,5.58399414982001,3.78099984617439,7.66442413178621,5.38247392349429,5.53141955285003,7.08765359760826,3.64891499865164,4.1492534919291,6.60949094509044
32,3.89451307115334,5.8969482671591,4.42130595598251,6.04412380656464,4.07332293878423,6.20915586976042,4.07084099226451,4.6881023893185,4.32506301054542,3.55889101964375,4.09658903408638,4.64651124478925,4.42049842915787,4.10352697441854,6.28264978902641,4.23879849285021,4.1785543417975,6.56925112762699,3.81943036064523,4.51352634580921,5.38701063096961
33,3.76261956413036,4.69034034487743,3.74020304102956,5.36023162390808,3.49674631069051,4.75908652001386,3.37314605021967,3.62524166649911,3.62872903889722,3.64293060314359,3.3791499973898,4.22166808879861,3.95348540086855,3.22413851785475,5.2132736322325,3.57157899931991,4.261246539308,4.95336821861448,3.38135681796525,3.48937200496463,4.64106350073479
34,4.80728038180032,5.72638777270417,4.66569896031765,5.79710803915716,4.46020365776134,5.40673382759026,4.1615489731502,4.1268466653304,3.89395941227683,3.5658367286681,4.63757507613177,4.61686598199625,4.18197829318483,3.52720023643318,6.35414902367495,4.2947171256058,3.50031992956471,5.78202710742703,4.61148360519786,4.10552263796165,6.05294431905832
35,3.33384830334367,3.83962018383338,3.35805245266526,4.1638146582257,3.05423300005484,4.52546692257649,3.28220473683532,2.89119322042787,3.04908944342647,2.95205559251928,2.8595809683455,2.58572368434011,2.96608675664082,2.6946078901418,4.45381196292974,3.73035265229748,1.83621343605994,4.57071868286396,3.20071954548273,3.14118415600918,3.86271191456284
36,3.65645781793663,5.820086336893,3.87037040819788,5.8585948434637,3.84781485329917,5.13502466826046,4.13184412309428,3.13489428611494,3.59832077987016,3.03617354991579,3.5588498418621,3.95266050552502,3.43783675468099,4.59350991152315,6.11407928742772,3.64571908046302,3.11981539225082,5.94407587449543,3.59806741914069,3.01794544551296,5.43140948860973
