protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,41.4212970294871,41.5817631823024,41.904366903724,42.2977599448768,41.5157061926537,41.8200103104472,42.2883461440834,42.6222285988832,41.1017578375391,43.0084893592875,40.060119379615,44.04517993039,39.4402112189241,44.8315521315629,41.1555022793977,41.0125853541241,43.3604020738874,41.2575173457052,41.0924276358177,43.2307935549341,41.8769844127727
2,39.3068788707323,39.0352697670789,38.7846881261938,39.200283338675,39.0726545147073,38.9334157337776,39.2142367161172,40.7162040969786,37.8586429905999,40.0135027364901,38.0670586626358,41.0153887362749,37.7178568414562,40.0693813146639,39.089090402546,38.6134900420197,39.8980415826172,38.6554783901275,38.7375576516737,39.9202556231141,38.0604370188289
3,41.8431449760485,42.3006007478149,41.4531019400603,43.0434977005085,41.8243770083521,42.4283254238237,41.9921942160681,42.6061595665572,40.975425394627,43.2907173810528,40.9995192961295,41.7784090094465,42.262593623916,42.7310920327377,42.1029383302752,41.3676492246945,42.9560405997544,41.6914203627386,41.6858433627264,43.279697105414,41.4756173007589
4,40.352782881422,40.6911036390468,40.4443569249881,41.0611592858164,40.3818376520899,40.4532135063518,40.717752430385,41.7691355497444,39.495806408992,41.5833574840897,39.6248766994714,41.5136762565931,39.5636502764363,41.964539382412,40.6512236145405,39.9244093924581,41.5335936429918,40.5786057276761,39.8537016002644,41.7954750353945,40.600308179709
5,41.1758899853432,41.9961290092131,41.4170444197264,41.8749163514436,41.9518266587796,41.8686956242221,41.7419892673935,42.4857883568693,41.2540910473401,42.1057081062654,41.2660562497148,42.5120787154094,40.6775307735298,43.0962660326507,40.8822548210873,41.9161972489699,42.3219672790316,41.1161334504833,41.8844064597793,42.8820079477357,41.7729738190134
6,40.7553331711635,41.9677813230623,41.6215468498902,41.6443209018148,41.3850036491509,41.1823809278128,42.0255433212855,42.5673881524247,41.2188833521718,41.9470106031078,40.7227192141696,43.0247906106314,40.329600122894,42.5808502447265,41.0629769805586,41.4608293234693,42.5675722579147,41.1238281534027,40.970756518095,43.1204186396138,41.4044712140268
7,42.1844328014894,42.4363927293264,42.2701802824771,42.3515171733529,42.278150396327,42.325117422255,42.6664796476035,42.6973136130972,42.1538358199342,42.5687510601741,41.3487750439657,43.3600662559419,41.4853734333246,43.4525440082309,42.0065137922317,41.8001468632366,43.239884971255,41.8660993710111,41.9002477084852,43.2827454878257,42.0765509107838
8,39.6294828140407,39.5969554077682,39.6837942502599,40.0786442082042,39.1364831994785,40.2601548000823,39.4382705370515,39.3660890502915,39.7299266345148,40.0771918782693,39.1323872835433,39.4880912921592,40.0167301439179,40.3152837192488,38.8210368099467,39.4375259402255,40.6779522024744,38.5070498615553,39.313003593293,40.7470635550307,39.2439513274558
9,42.7741220411593,42.7554510005251,42.635892827948,43.1042961738014,42.2281241300011,42.4563305851745,43.0353554632961,43.3504507647073,41.7171067631276,43.6819445199296,42.03436844804,44.8060429019993,41.2055465016116,43.7866705747937,42.4155974938334,42.7460572597234,43.05334957745,42.1188028817707,42.4432551516458,43.5228694211885,42.9490109655136
10,42.4652331145608,42.6243183326187,41.7192471689241,42.9484728004429,41.8191303263102,42.8428327371851,42.7769902891081,42.3999637298292,42.0629969543318,42.6784832898277,41.7883795395012,43.5861358556902,41.3351472668511,43.7763224085028,41.6304590966268,42.0583290679251,43.5214183054019,41.7757546576507,42.1249502829784,43.1240931538429,42.025653043061
