protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,3.54704658667032,2.58383293225233,3.69789031584357,3.78809574130967,3.85449798257388,4.75761473689266,3.91777464451978,5.84401420419342,4.5697348663114,5.86583434924402,3.34958339775254,6.69900716589196,3.43910948577304,8.01814808805506,3.93301779180865,3.83702777448312,6.0921362781405,3.34505043386512,3.10905556564287,5.78623321876058,3.90084399563212
2,2.59728735764349,2.02628358402381,2.56302281448689,2.54547134304667,3.21454909491565,3.34417718447572,3.13127781216926,5.27763585327907,2.36354325903457,4.65257895983146,2.39282191969122,4.63627027363241,2.66853661455357,4.50750970277039,3.45915114910312,3.4249631353857,4.05041244137969,2.47513986078502,2.63795179957498,3.73412403867881,3.05949165150624
3,4.08699267014928,3.94778702694435,3.85795328735749,5.27024475458611,4.30533591264846,4.49623853967401,4.62115981623936,4.84321495647648,4.078533728726,6.21600880519343,4.45126169674559,5.27270680722142,4.6229741235589,5.22183025147743,4.71699222597374,4.14625198068037,5.82893531149377,4.49405180271935,4.45235481788117,5.85270398460663,3.55714142842245
4,2.90958863871775,3.5197737397714,3.64913822756281,3.81841691958377,3.3449921071434,3.80561442121273,3.55735266310356,5.47956319724007,3.4219448271887,4.83611059184699,3.15126192170331,4.78319395848374,3.22829148985833,5.38742302507017,4.27452486245285,3.61166947183796,4.9210014293049,3.42645252319464,2.70809971026278,5.04066308388021,3.98731014596731
5,3.63283714984684,3.14627469772051,4.03144413915843,3.92667779419058,4.63041942856453,4.50616911716184,3.76537104517571,5.32805134645738,4.15968270813599,4.86676237819242,4.76391306110627,5.42797457754493,3.55950769690562,5.44723955183657,3.39715632401909,4.36940130988411,4.82453658689287,3.34190946231972,4.93918226643582,6.11745408851589,4.58685293262898
6,3.38040636243803,3.89579849959902,4.47248818306756,3.93135584730064,3.71868241044941,4.50582925731072,3.99685318199792,6.00872058673872,4.70018584607021,5.22191832598971,4.07322848398738,5.45315748308724,3.89439683016094,5.4501216177808,3.780227916092,4.73889454932688,5.71746338243574,3.7045222263214,3.69253930452105,6.08779344434384,3.95270461654459
7,4.30957989620046,3.85959047941717,4.4504534703792,3.95498945975929,4.33190375388628,4.83730858532754,4.73436197164236,5.75176791063647,4.94933232472694,4.80772044227011,3.82273235126016,5.34758247194796,4.99789613818121,6.06702464547761,4.30572457127217,4.07049977970175,5.16720576738065,3.67580926994738,3.77247383912384,5.80453006261535,4.90841461116758
8,2.67805314478535,2.40543501472668,3.33211695299606,3.22038432810377,2.73888869591366,3.08643174702815,3.1296541823367,3.17423155706601,3.84337028560809,4.01091868030522,3.43503629693094,3.87066510419752,3.83090045389793,4.02988490730164,2.4288628132014,3.16721720587931,3.98584533197119,1.69381164280766,2.56368601610871,4.33130516859158,3.33157141844535
9,4.98056685019708,4.44077987926185,4.93326649884433,4.89043368084143,4.05989771122941,4.64947678313335,4.05844419140777,6.12354144390943,4.35243729889298,6.1044494301446,5.14595551165644,6.24725014267001,4.62090665806251,6.17971590061157,5.13800624905686,4.86435928867716,5.41799903979352,3.16321045925307,4.54455900962198,6.07150097314024,6.22085502300827
10,4.92522758416787,4.13962955510529,3.5431637776871,4.12133704549646,3.883834906431,4.24295371974982,4.40736435278678,5.18571601778643,4.17943085469068,4.83141452484309,4.57249636669499,5.79803712809457,3.59100221348161,5.78820101119217,4.03366860767351,4.20233316691587,6.09954912702866,3.73585717538177,4.27465902898706,5.15831984443349,4.4538059345102
11,3.43924925283101,1.87274960961199,1.97292537988288,2.31457701161138,2.40691766343285,2.51711922629946,2.36502351610766,4.64730216575028,2.22560503856787,2.74566352270664,3.13933095703093,3.98813516502349,3.11858315143829,3.49551837192497,3.60641507091697,2.16230728222543,4.67973175805321,1.26352216226113,2.88359312601448,3.05645623081362,2.50468352430625
12,3.21782382170356,2.50324532859721,2.73980452233777,3.2457873140462,2.84290893464012,2.84091484842891,2.92311304542824,4.88959760785856,2.50875655724952,4.79342708179199,2.75983606128993,3.41377932439571,2.37130309038657,4.14429108152769,3.12804062508812,3.6871552864909,4.25324638246219,2.21803192184307,2.43693791526598,4.21996266728089,2.96535102960599
13,2.60467034966593,1.93607368870238,2.26835367431117,3.1057617266167,1.83279360047996,2.11920721398175,2.14291328954375,3.42868834266513,1.61956624498576,3.99289854541099,3.01642822993461,4.36211536148605,2.20761434188026,3.82706217352163,1.94704366824278,1.81545353782952,4.19264295512107,3.21527227779418,2.05882909439775,4.02842088264737,2.64238320159651
14,2.36747025229707,2.07100812840236,2.20029776692485,2.50452136628331,2.80494317034434,2.14654250735542,2.07107301455611,4.71691879705134,2.96675108681106,4.35407383436783,2.56893200260831,4.59978370584451,2.27712029639035,4.7784557742599,2.27193644997855,3.27063528535834,4.81725933183368,1.61023412438217,2.34250886288213,4.04999668477811,2.17488052875219
15,2.83308931453299,2.31415905736387,2.74184789021633,3.64611772269736,2.31796123648114,3.55733058892078,3.23681698612184,4.50435058774342,2.69228510572875,3.95794655619081,2.58770600546966,5.03712725209121,2.83774222385469,4.122804920728,3.51600792735063,3.59075709929779,4.64013044731757,2.35640214861988,2.13406648958862,4.55765547213124,2.61408124536431
16,3.1393602600345,2.77157817537861,3.30739590777304,3.03261782056763,2.62849430930832,2.76107782465289,2.75441704255686,1.73873118043406,3.63422586458763,0.779846122913957,3.67143019059795,0.691074769046398,2.89742304152853,1.22356296755007,3.18771441549081,3.68199323160626,1.53095167956486,1.71121446798105,2.93630538502246,1.66397183371837,2.62381292014728
17,3.67024639278096,3.58752648201493,4.19444990942332,3.30812844169602,3.80769081330571,3.80971033765309,4.23959010063153,1.83921443674411,4.47431501657261,0.968118907029149,3.6504848628933,1.47884624179487,3.47576477509253,1.87739338930247,3.63264008633335,4.19478091339606,2.25211758716434,3.27057912927551,3.58840425438461,1.80257297865501,3.58983712367677
18,2.8941247210326,1.98484144032507,2.14344106877694,3.21342308357769,3.23898592097743,2.28281084373854,2.16676576213682,0.792476897071323,2.92766964934051,0.483973465508929,1.76735623947691,-0.133683528712326,2.77480302426916,0.752946228133967,1.8570808995287,3.6984992849303,-0.0273541720257834,2.64259807546163,2.26370240719328,-0.878566147603574,3.36240063291902
19,3.23548697714509,3.3578422251446,3.15161501104309,2.61080043206049,3.10956834846794,3.29119526880561,3.4307894293726,1.26094260333991,3.40383615561084,0.751650908379251,3.30237309694676,1.28076631782905,2.9905579788535,1.5384636055318,3.38402338779542,3.29900482399504,1.29004755449687,2.93436151308159,3.07548810913766,1.29491052341596,2.62830823881051
20,5.03052423221287,4.19372827254566,4.89776511645595,4.88015640646556,4.58275808863134,5.2261244406549,4.81091014792373,2.78570924724567,5.42081131577682,3.30037851253297,4.3061340568865,3.22084594806836,4.59644617834355,4.06408004100184,5.27869634101623,4.68157742621628,3.62590204039538,3.64607020112297,4.27014152730614,3.45809826869624,5.60410406788853
21,3.80111918328339,2.88663238452222,4.64355063121064,4.02929098372228,4.36246231954766,4.19539789950568,4.14152429911142,2.97120958638876,4.41798772763561,2.77476140806301,4.31304239028669,3.10894430633317,4.21505509186546,2.82510115395397,4.02053035572966,4.82753870872087,3.96817648769743,3.073657589693,3.38313175774419,2.92911862158549,4.51989156686981
22,4.78181104229978,4.26804842311674,4.26353020665924,4.92789854053339,4.20800467725515,4.3519349203082,4.76413044851081,1.53250283799755,4.31559401896435,2.84619449360915,4.68511767311884,2.46790907387186,3.57237271407345,3.08958414907979,5.25307674724596,4.04096373279147,2.51927527956628,4.04821055340878,4.16069942373455,2.95616363274198,4.76905916713789
23,4.18364031145678,3.67811810831825,5.23149793541071,4.39007058778909,3.69586485719832,4.10368885185782,4.4037400486165,3.02083533813515,4.95419587526108,2.04351386222992,4.3355418671425,3.23636433797717,5.01783763598396,3.37909840209919,4.35138555047436,4.66825085658635,2.55702720779701,3.62787149697543,4.06760432933812,2.68237752117688,4.06742513710629
24,2.49442567156196,2.25328009558181,2.59735810787631,2.94742137428262,2.34907564213041,2.28949517729029,2.59846385444148,0.679268710048045,3.1781399533535,0.471629160060853,2.79690537150725,0.811106548476267,2.69036812640165,0.958706330210929,2.37613378307991,2.70571618472213,0.976625685058781,1.82734278529257,2.78430182318904,1.31644180762865,2.57675844868247
25,3.38333372334476,3.33680677553595,4.14836119767257,3.7556157795151,3.8029794404587,3.63478633387434,3.93302154484461,2.07232593365154,3.81157027774198,1.07101603330431,4.39702918449231,1.76246840888048,3.70370544765049,2.25431356542381,3.64808894324469,3.89311813377911,2.29955419356174,3.4450218642163,3.48369256766516,1.7336329460951,3.39281825126851
26,6.08594885844963,5.31324707577879,6.39955126374688,5.48905149099534,5.24266997153154,5.88337695821354,5.90804428094834,4.28572855692844,6.02773727234414,3.49173584255879,6.22412961144353,3.83708302201456,5.63682221120542,3.09819568857241,4.87098393135892,7.01895635570368,4.5465518686106,5.45191874070615,5.30789555735778,4.87909869376993,5.79560464949651
27,3.98711274938563,3.78190886510127,3.67473797087596,3.45718835448601,3.57723432687751,3.78026327529714,4.32198973314647,3.10055342713393,3.31276131126516,2.1017284058761,4.03537445356527,1.81783173110455,4.48777268588162,2.79764269939714,3.7440415219743,4.09879081934947,2.02298671743633,2.62163546771255,3.73905309962962,2.80101147925748,3.72170784101484
28,2.92345168523275,2.43927643310435,2.9522186306444,2.72568372308935,2.37269255094767,2.3503514681131,2.69454941692889,1.47787431215802,2.61324448599452,1.65750381111475,2.83379905986192,0.935688189482481,2.66730950181977,1.44465495162165,3.13156300781855,2.76715699524293,1.46365155029443,1.99120109494644,2.70836011150507,1.2581900691729,2.91553991683535
29,2.34883995802537,2.25617392325257,3.06622467918477,2.94643048855524,2.32316157328919,2.93608833913725,2.87023672318092,0.847544479512597,3.0493615841795,-0.0577073845920335,2.9513128484865,0.625855875740052,2.14588455296213,1.79252828014498,2.78185638278488,3.33854349845413,1.19441889801137,2.05806266325515,2.44449231928008,0.383964461378629,2.45328498928966
30,6.02876967841407,5.5242544368717,6.62623870599883,5.42132334409852,4.96919868797664,4.76774220741318,5.35225677945462,2.67755961039082,6.14466880046296,3.43379867886922,5.49973169731172,3.46715870071037,7.33943343885651,2.81015666860375,5.40820945881114,5.92997541351107,2.43118430561252,4.57234060602359,6.01038005486917,2.56114126700064,5.00008752691137
31,4.97279571762602,7.52361312316654,6.05777716816445,8.12896878680896,4.15830666895324,6.78776336078677,5.35483177249293,4.16244335353925,5.38299732034972,5.07969734455831,4.96186975312381,4.43690513981152,5.67950886120274,4.25419831032666,7.94357950175176,5.69892623437735,5.628061527909,7.07632248494198,4.05101767920103,4.43445642991728,7.10827357505392
32,4.42728249824376,5.766928237975,4.49114939297137,5.98989365264809,4.05582805433316,6.36336031522376,3.8809321742796,4.67462123485473,4.3163675104523,4.60699588656024,4.48980634974065,4.19421437040438,4.19681867067774,4.55968664269134,6.53834686189363,4.4945753946762,4.50023766816776,6.28934650599301,3.6126512381475,4.57121010277601,6.30102169786256
33,4.20847987117259,4.73505011807408,4.45527877223076,5.82473201567857,3.21209679737666,5.58397745940955,3.64968848631941,2.94890539439903,4.09647272031768,3.83972701951986,3.44706288920512,4.21258309219334,3.95037402501027,3.02945515836816,5.97472638303007,4.34121168461864,3.9665465792514,4.82966025942589,3.73141392328864,3.50276284890168,5.43775784364106
34,4.14344435514231,5.28478427916102,3.96983866079771,5.35402358006282,4.12562609619355,5.4535440857438,3.64910105544187,3.70772867560601,3.57638759214426,3.23762557849851,3.83796554432075,3.68688225347104,3.70006344433918,3.25569413288097,6.04721826025348,3.73764920579026,3.18316490686148,5.01197539876413,4.10511354188331,3.3099327606039,5.54548535845564
35,2.49503111164955,3.36983643471551,3.0312767326377,3.9867599519802,2.89507335967525,4.49089877198241,2.20533644963745,2.24007497521196,3.35913895921378,2.60740821853686,2.38949025949035,2.3127922246527,2.14678915372044,2.85870801381943,5.09006931602717,2.75885219647022,2.48981329702136,3.81104952313279,2.56948823498879,2.1692359769154,4.18707398241675
36,3.61026470792001,5.81237755308734,4.30832575043536,5.74736382746809,3.84196016803485,5.17908302177306,4.53550932698174,3.00635764185102,3.40382319781212,3.42725865949168,3.88147800732855,3.78353990160228,3.59729315964764,4.47379158027676,6.3952324420178,3.89980698005035,3.47096193222989,5.76729147894026,3.23615806910024,3.51305645196233,5.79450416339061
37,3.84098189231868,2.7267026709644,3.5755758825685,3.07651099585404,3.15200489835685,2.03781787853729,3.27868071507754,2.84548706050333,3.22140387082367,3.79035477145279,4.27879031052345,3.12494528416347,2.91240951525146,4.18547559898841,3.78816659150102,3.54820026385486,3.7626902066129,2.81478867259466,2.77553967021029,3.35908208259286,2.42672986999994
38,4.66231013567416,0.691739716205511,4.48745934295229,1.44413140422421,3.50812791054468,2.06431321653203,3.67905224653899,3.53983692217785,4.39588281564918,3.98870645533697,4.54462030922866,3.23891054216938,5.25318139547512,3.5267211068917,1.90059040594049,3.9005035299146,3.69770475536629,0.879270823606331,3.3464669236906,3.73149281911069,1.68165511877575
39,4.40050423228018,2.22705585019736,3.90473354951219,2.62702554148288,3.23880457319082,2.61412314257083,3.05272321123702,3.47507780630573,3.96918782975039,3.22722708458085,4.26669032512736,4.18199937916878,3.00856740579818,4.06675238172985,2.75972191785296,4.06413992518119,4.45851228221823,2.26072343930021,3.02876584891016,3.32209887124855,2.9775041469739
40,4.21994461540104,3.8426000959144,5.30743615858564,2.71448739694035,4.8975304805288,3.51101920711111,3.90567119353545,4.47719055816747,5.40388146481354,3.88146530265521,5.14049949775894,5.36682901827521,5.55264911190854,4.40037927999074,3.67769484591732,4.26039772966828,4.93262972046172,3.55782751878995,4.75596147506635,4.71664215818878,3.92183724455538
41,3.93671671649352,0.631785108106962,3.51004094352902,0.836645168190002,3.20436014533681,2.07722645552386,4.23310716806679,3.47243665469883,3.04977398152397,3.74693535242586,3.70317663738399,3.53611546598669,2.89140826573844,4.23836437960371,1.63881751464127,4.46680205429045,3.40624289620366,1.0499231416955,3.3796871380097,3.99608228376338,1.05039878331653
