protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,4.14106555111073,3.15788865349562,4.36478799830393,4.44214448899281,4.49493019778827,5.50207162822015,3.75095696962292,5.61021979109393,4.39743038202383,5.72465524897373,3.12919986154976,6.49595047610371,3.31786395223056,8.11254737211078,3.86305979932016,3.74988109997099,5.96252732353139,3.22811885577042,2.96306965813601,5.63145634362958,3.81727346231995
2,3.21682915988579,2.6395612658881,3.16591802336316,3.17749820303303,3.81320266769853,3.94109491232568,2.85736154803216,5.72482916867438,1.93133063968503,4.29852820888397,2.68777344522118,4.73629446037508,2.60576558069467,4.45507892946957,3.44402697579504,3.41048209077212,3.97300477571884,2.44012366939259,2.57498897680301,3.62087292736575,3.05296657062871
3,4.2201815930389,3.80769757387083,3.97548381615959,5.20103949488059,4.77222660915634,4.71018181893421,3.97373385687356,4.24347698851182,3.44421093914031,5.52023311237448,3.82016540304296,4.63235868720903,4.60418226797956,5.03318485300477,4.55684654478586,3.98952742177584,5.68367885765173,4.30309695870969,4.30534726065778,5.72044148082592,3.45256278859228
4,3.30550418400278,3.7954453298743,3.94994390640387,4.08090319484729,3.63267097989625,4.1310931747695,3.50887287340472,5.51724423860794,3.46502277858989,4.69374015069993,3.0160353214336,4.83251633115084,3.11808092191734,5.31551755939423,4.18305073042838,3.56902059224802,4.82745902729934,3.29628497510917,2.59066434010705,4.98020598985734,3.92007288069048
5,3.71251008904981,3.24116434370422,4.13966761185973,4.04319986380346,4.74859797246035,4.6369293894533,3.51469422265995,5.01464041795012,3.75849221350038,4.59743107448205,4.33413488629928,5.04479188138765,3.40923061297561,5.37478834936643,3.25920212789062,4.36593808370986,4.71045991275155,3.26413749333305,4.96053299641764,6.1294332355863,4.60231731517976
6,3.69086853798092,4.1983915951074,4.79087570445601,4.23235765326013,4.01682018303474,4.85698376619182,3.98530422408658,5.97556222607794,4.74039570556608,5.29742067379617,4.05085242535117,5.39189442666951,3.81109336984325,5.38690007049561,3.69125449461837,4.7671058645471,5.65854100900885,3.64826605372191,3.64994021178677,6.08573445128862,3.991327430946
7,4.75384668687956,4.2680662612506,4.94820278663079,4.40423215884687,4.74600329005915,5.26090048510065,4.69849768121709,5.66138981656811,4.88584590226855,4.74599034750776,3.77267429743994,5.2958159211951,5.10411039024264,6.19104116641289,4.31297461232517,4.06871189408725,5.12810421729491,3.61001717209457,3.70138467131501,5.87543505440638,5.04381038682064
8,3.02893156453308,2.91620588923266,3.88494866135219,3.81027136051897,3.15997513703305,3.5317033279581,2.94680650994873,2.85887008562627,3.65995979519631,3.77352381966427,3.2259558918212,3.58678111850064,3.98095048633063,4.03249671981814,2.40790789092533,3.16906970617397,4.01059131612979,1.5759089490271,2.49333840468525,4.46392263234863,3.41058423399504
9,5.15205470289597,4.8173879483501,5.28663241366415,5.21130112704455,4.44765084549505,4.90964773917336,4.34185338479822,6.28161332163278,4.56572074944407,6.33286637544963,5.25569641341469,6.56223176997927,4.68243102139773,6.30022129935885,5.16375486361756,4.90618056968499,5.28868040787786,2.92050872000315,4.52670861481879,6.10379885544862,6.48422911341913
10,5.13961469512435,4.21351890582559,3.59628625303742,4.11291341493416,3.99913307925522,4.39637354641129,4.13984073406928,5.00514790867514,3.9565566325294,4.74742593098378,4.10996549746821,5.51282315684169,3.46810495574289,5.6060380091246,3.84351429462751,4.27686978874204,6.07422977648009,3.44311605582587,4.13019527408143,4.9990717760822,4.40118709725785
11,3.48208093396526,1.98545430602443,2.01046887504932,2.44395006914981,2.52613851357719,2.52956848753044,2.10454371303792,4.17580057358567,1.90633381559443,2.34119839970222,2.79686023617839,3.56235561733674,3.02927349169117,3.27602650868027,3.66432866577267,2.1810843903528,4.70179801677353,0.695833387439072,2.83933148804067,2.93300527819226,2.04241724074102
12,3.56025550741385,2.85244508988217,3.15291225143261,3.90389794621309,3.49283951917555,3.4208995345782,2.9791462274354,4.97651079513689,2.49409745984438,4.83356804071582,2.73382509912722,3.29216440835087,2.31181903790443,4.08556138733389,3.12849169367544,3.68784850030307,4.20562153733754,2.16881408531484,2.38577467898933,4.17785210773591,2.94514274548367
13,3.05544628172131,2.15733821063018,2.65419413172903,3.60901440168857,2.22315922027241,2.44141925050294,1.70061384607318,2.88959684424398,1.25046128247508,3.53097280882047,2.60580378470627,3.8811140372737,2.12155404912835,3.73260442001039,1.84450782987515,1.72587049814036,4.03366967344396,3.03959452624655,1.92270786695926,3.93133307140019,2.60694998263787
14,2.97185081686341,2.7862332439866,2.75654496996401,3.19842636819044,3.49742561355134,2.81951724090424,1.60477029116342,4.25560233713735,2.31253321966585,3.78576804654676,2.27218000006859,4.02250175245408,2.21381786872926,4.63756773215342,2.22744756096702,3.21910639465882,4.75341405408708,1.47514481536256,2.26315954643068,3.94242164600121,2.09105449098663
15,3.30377165259122,2.80174645070579,3.14855878555968,4.18239105794064,2.70871426765345,4.05291475539413,2.93207991179768,4.10994755389828,2.21308346994192,3.46875788482402,2.21271879374333,4.73561942871956,2.74833127140717,3.99190923065177,3.43463382061049,3.54707653472959,4.54472496735941,2.20097740271114,2.01639139156636,4.48342004736592,2.49159596819291
16,2.72464308434085,2.30465741754769,2.83790286850563,2.67347148226043,2.0875983962425,2.3585659004956,3.15081534547648,2.16421115082411,4.01456685985533,1.23335805000058,4.12785460186904,1.07040712935987,3.0084480406531,1.32785610180841,3.41131629954999,3.84905585937064,1.70233912265442,1.78172379090514,3.04679359160076,1.83660932055542,2.72258887304672
17,3.43201502093561,3.31395606072012,3.86270896478735,2.82366182604484,3.25281621424568,3.38795054471288,4.59718494775206,2.16254008738953,4.82645303978198,1.28829509560269,4.02688572034821,1.79134196018528,3.5850505408201,1.99562589202358,3.77896513064874,4.32037641884316,2.43240420786961,3.39928949405956,3.69791502120612,1.91471038532202,3.71781173533584
18,2.10628622963894,1.3837397271313,1.45033116499002,2.45703454717028,2.48907933643226,1.57996410246001,1.96769620562388,0.443794138056503,2.71490574505717,0.28175811435073,1.84896733189973,-0.133866572298206,2.78722493466131,0.812115026720722,1.84981018759659,3.8210155785962,-0.0327462799047894,2.66360636409154,2.23678782367511,-0.942712199729328,3.46412503740643
19,2.81369440792739,3.08882629671398,2.60507433187486,1.77623212014367,2.62053227323001,2.73322233571008,3.84407705650709,1.58123418934645,3.7839220500038,1.11953425269476,3.73736020030811,1.74067247670904,3.07263977599005,1.67861466448801,3.48570579878641,3.44152879463187,1.39362330451737,3.02507108748383,3.19101449918818,1.447398411161,2.68343655635928
20,4.42217902947024,3.77516572819314,4.2573234676288,4.4693413431365,4.09213021549812,4.85597834270514,4.63351197747332,2.65061819997814,5.2114769151626,3.29633745292998,3.94889775891075,3.11759852976234,4.54160990784275,4.0997915486062,5.29132815332954,4.63538400328948,3.61017327640637,3.47246021813176,4.20972182986543,3.42597275012527,5.70710506176384
21,3.3962799483304,2.0029166936425,4.46052074985192,3.34755069160404,3.58289134188718,3.66602578113725,3.83965691207343,2.77915951533395,4.30005941629416,2.374859940805,4.02858073519043,3.05190546005553,4.2570942340793,2.72876886795859,4.06020030661867,4.57105724425258,3.93801552957019,2.7488353328193,3.18798772704576,3.05527162216674,4.68545941237679
22,4.88257789106861,4.04579420952193,4.1631195644093,4.56857997039879,3.74221212778214,3.76762278773833,5.5947525384491,2.20133471470266,4.83488520775528,3.63713216984367,5.39638939286338,3.13511501357851,3.9324026850202,3.40916520298626,5.40394149594055,3.96032349848514,2.41723903132231,4.02016034901852,4.32436587174162,3.17502484822276,4.91185359294333
23,4.08456855558623,3.2039078104544,4.92206485017549,4.42701577735112,3.62134643727145,3.79213017544539,4.38528857867924,3.54240536576182,5.09682535503764,2.80475009363257,4.90216784753193,3.75730568584581,5.19178910423481,3.60058839201815,4.59931887921795,4.48388224368184,2.8051251530121,3.67390369323712,4.22310419238065,2.78741158026008,4.14386617395809
24,1.87522848501957,1.12435413126347,1.59351275669126,2.15821146372977,1.48749327207674,2.08153678511621,2.90248100376758,1.16063055679538,3.61526445222712,0.595219754649293,3.40673608510425,1.03624458284809,2.36063761224811,1.23909278699509,2.3820191654115,2.80007575895799,0.941568510372639,1.96652391924258,2.74562607768794,1.3007597123263,2.43296025183244
25,3.10515974227213,3.19996365815477,3.98829990815013,3.54812589987726,3.60577383894324,3.40204695662043,4.29767171589134,2.44689053961818,4.17485457601341,1.37250926310578,4.80044955508174,2.10422153404274,3.84271734390883,2.43953726666215,3.832493996576,4.06867026824402,2.51017348301735,3.53966841570877,3.64651003044174,1.84076552262915,3.57511454075498
26,5.69855763837819,5.14125877111364,6.23824550885283,5.25933671438278,5.08016189263328,5.75140998684904,6.26999249746529,4.674872597581,6.42080646235702,3.85298934491245,6.62833123647372,4.27518954787018,5.74402018924541,3.09518473150798,4.9185985983079,7.33433146127318,4.79889751853059,5.60417297287394,5.36482304841798,5.20907428766918,6.00811083688839
27,3.73524841132447,3.50202879160476,3.43118951808703,3.21641042788127,3.28369587598155,3.50522307483297,4.15690237818358,2.92339700021726,3.15881933208731,1.93657979691922,3.93347876897184,1.67547876170805,4.58594877362249,2.86859560528236,3.80118571695223,4.16953278677254,2.03472653753529,2.60642270500858,3.76678387984353,2.87381494103849,3.78230411282695
28,2.6109887827478,2.32409050608268,2.95182800701077,2.38034151243235,2.23636551176682,2.30842757911773,2.91047273019778,2.11433957869275,3.0266140067409,1.89291579174099,3.33421453625146,1.30765324687546,2.80020384256724,1.56599147081314,3.28645398807639,2.85850006074044,1.52820936968484,2.08679560217292,2.7246547558801,1.30425610508458,3.05751951168404
29,2.18121693567961,1.80873835853838,2.76218551292233,2.56963458317013,1.92510397551123,2.50634385689692,3.17947216609136,1.08205576791627,3.32023161962745,0.331652160119878,3.25315878766906,0.891958463183855,2.17814287525915,2.05594771742455,2.89063963066638,3.52055325496152,1.36079030024785,2.14373344232852,2.56032772793513,0.433777743250781,2.54848821753196
30,5.50922956414516,5.11092777927958,6.12991347023197,4.93670392595102,4.46828870074763,4.24544558031087,5.94636305233583,3.26151726457218,6.76663174735607,4.06969655583757,6.12406717453195,4.11109712390388,7.64699557775668,3.11569119360653,5.65268406006004,6.14906308417509,2.63852968613218,4.76525330528338,6.23924737776433,2.77082773105221,5.21833062697609
31,4.41886198828617,6.96445218341975,5.58847008490481,7.63763732241322,3.5668913761716,6.2332021788299,6.10191228623546,4.91859379318267,6.12405400357602,5.80544486530675,5.75470847261505,5.18927467958885,5.6539483469021,4.1542738545875,7.90146458281141,5.70071241992266,5.6466816390846,6.96201103206103,3.87956057615751,4.32235290446327,7.04081847488843
32,4.25343730909193,5.65701955933205,4.37067735148841,5.85250286746876,3.91504435398307,6.24636130451455,4.23899403658144,5.09441931048017,4.68594474747145,5.04638091198072,4.92037619576033,4.61098855809976,4.09020962423452,4.46048907437663,6.46338521817958,4.51878270799377,4.409846876804,6.24375237109276,3.48256578989714,4.47007595090982,6.20939132143016
