protein,batch1_group1_rep1,batch1_group3_rep1,batch1_group1_rep2,batch1_group3_rep2,batch1_group1_rep3,batch1_group3_rep3,batch2_group1_rep1,batch2_group2_rep1,batch2_group1_rep2,batch2_group2_rep2,batch2_group1_rep3,batch2_group2_rep3,batch3_group1_rep1,batch3_group2_rep1,batch3_group3_rep1,batch3_group1_rep2,batch3_group2_rep2,batch3_group3_rep2,batch3_group1_rep3,batch3_group2_rep3,batch3_group3_rep3
1,42.7731412541104,42.5252131416622,42.8985731202079,43.2325888918919,42.6943247125065,42.9764458525901,43.3155315735155,43.492537607431,42.3512605489116,44.1797434543319,40.9201744803875,45.2944084883177,40.0644423302665,45.9924202950611,42.1198006793485,42.1663645971081,44.3159408889496,42.4468429323438,41.9962921328704,44.0272862222561,42.8160706917277
2,39.5657543740192,39.3527014564631,39.0277207875624,39.2663870789087,39.4582541368256,40.0759130407215,38.7065211531849,41.1805157110984,37.8485516765721,40.5643809430554,38.0239100977017,41.1623165146358,38.2887269904634,40.2750488863982,39.0108243827683,39.0942974376757,40.0105442695183,38.6861544499764,39.0925843939492,39.9111830412656,38.4810914606249
3,42.1166467300874,43.3927709091566,42.3146453314285,43.8430660118729,42.7382267345246,42.8614054423525,43.3290939238481,43.3227843631972,41.8454119403982,44.5911502920476,41.6983339426676,42.8259612213772,43.1590652284396,43.5276391223131,43.0454157893152,42.4716731945494,43.509303724027,43.157090181092,42.3416848737843,44.3498447522536,42.650980589503
4,40.6450791337846,41.9620576393194,41.0348895506549,41.8501487898329,41.1911979098608,41.4517156302532,41.3338464701532,42.5626539785593,40.4623653478239,42.343791948545,40.3453669626789,42.4705816626607,40.2905545678942,42.6858137695386,41.3996280846085,40.7654994587571,42.3671740653475,41.3598082505453,40.5485779221107,42.4473258399185,41.4513608214614
5,41.556953478864,42.1208087434072,41.9574622026748,41.9983917257083,42.4053298949554,41.8946491963112,42.0161526259102,42.8560268547914,41.5376183608088,42.4063688153532,41.5864770601887,42.9254238470807,40.9963616557026,43.159867454935,41.1644495190061,42.3127880869238,42.5286603731375,41.4740272493049,42.1709002743849,43.1715472905531,42.096891716245
6,41.397629848583,43.1275383991543,42.4251997063139,42.5235102258011,42.3791537343064,41.9376518630084,43.0020806099588,43.5965294546036,42.0692661299587,42.7199632363289,41.6152176461221,43.8741416055463,41.2659449611893,43.5347441373058,41.8583892408516,42.3609402144418,43.5970635479112,42.0343111938601,41.7750675530548,44.0250116612198,42.382377542309
7,42.3820257860875,42.995204170157,42.8561151483096,42.8830375239537,42.8448118098123,42.5137904170959,43.6159183337195,43.2286118228456,42.7459802206698,43.1993268415613,41.7725931327471,44.1002689296013,41.9985971386259,44.1174868726564,42.0736631145612,43.0342378468722,43.3641660173787,42.3504693117807,42.5198358410885,43.751219359685,43.0101273690079
8,39.7712464253224,39.9946228662871,40.8752327724658,40.134690359647,40.1925082275225,39.9963426572766,41.009940033887,39.8303282695849,40.4214565885676,41.0322900585624,39.5173804787159,40.3066326316199,40.5558866382127,40.7743622653442,39.5503103707501,40.2076930282027,40.9276621205864,39.5686576794032,39.5790163514101,41.4232898117035,40.4543971369714
9,43.5090686057073,43.4437134938685,43.2353638244849,43.6056841999531,42.8446407967343,43.0213871332382,43.4417375090585,43.95878637971,42.3660389765913,44.2845256044931,42.5922803548311,45.5703715522778,41.6274129159826,44.3884742086877,42.9128526230593,43.4011686740335,43.613391977399,42.7063131761624,42.9584041422393,44.0574485835182,43.3315935138022
10,42.5274764089052,42.9970728853151,42.2109577034265,42.2920058503505,42.9510204102778,42.1542563597504,43.1507333105137,42.7940478240729,42.165398023007,42.8490343208948,42.1409399627687,43.676710809669,41.3748240010249,44.0712636207512,41.9809714759298,42.3089100498733,43.6305412463148,42.3104943795725,42.2544181423602,43.3265761394256,42.5601159966473
