precursor,peptide,protein,class,group2/group1,group3/group1
1,1,1,2,2.85272795855291,0
2,2,2,2,1.55898379871337,0
3,3,3,2,1.43130217493197,0
4,4,4,2,1.64793763597146,0
5,5,5,2,1.25413385526895,0
6,6,6,2,1.61655601660842,0
7,7,7,2,1.4279963099281,0
8,8,8,2,0.985511411068618,0
9,9,9,2,1.58411473380147,0
10,10,10,2,1.33454836396146,0
11,11,11,2,1.01024764168585,0
12,12,12,2,1.72226499522474,0
13,13,13,2,1.50327305640535,0
14,14,14,2,2.11539862221373,0
15,15,15,2,1.75304196166091,0
16,16,16,2,-1.49230427934657,0
17,17,17,2,-1.70784060958812,0
18,18,18,2,-2.25784594659956,0
19,19,19,2,-1.59541485984077,0
20,20,20,2,-1.19562206597036,0
21,21,21,2,-0.734188121768956,0
22,22,22,2,-1.63375925890106,0
23,23,23,2,-1.22748433573691,0
24,24,24,2,-1.60567893592252,0
25,25,25,2,-1.36130917212331,0
26,26,26,2,-1.87993094674353,0
27,27,27,2,-1.22958758017245,0
28,28,28,2,-1.03817275280696,0
29,29,29,2,-1.63830521623447,0
30,30,30,2,-2.42591491157008,0
31,31,31,2,0,2.38788599616315
32,32,32,2,0,1.65119084479716
33,33,33,2,0,1.39135255704563
34,34,34,2,0,1.69452817331644
35,35,35,2,0,1.34999021764207
36,36,36,2,0,1.75747897159647
37,37,37,2,0,-0.843471589795985
38,38,38,2,0,-2.23972742987847
39,39,39,2,0,-1.16424131428944
40,40,40,2,0,-1.16898104128702
41,41,41,2,0,-2.03883636817183
42,42,42,2,0,-2.29993161062715
43,43,43,2,0,-3.04401974860585
44,44,44,2,0,-1.08296961248329
45,45,45,2,0,-1.65282678982638
46,46,46,2,0,-1.76799708743673
47,47,47,2,0,-1.93707656530528
48,48,48,2,0,-1.49524318657839
49,49,49,2,0,-0.930943200247806
50,50,50,2,0,-2.03867334919771
51,51,51,2,0,-1.75742601538763
52,52,52,2,2.13038169877224,1.5635632821971
53,53,53,2,1.77346429257603,2.12765936968405
54,54,54,2,1.66866275501064,0.901610919481883
55,55,55,2,3.33579184515924,1.34940152255717
56,56,56,2,2.57677198465232,1.6032144745416
57,57,57,2,1.90205968676218,2.76709506340869
58,58,58,2,2.01037811034488,1.08986359565718
59,59,59,2,1.55920233969058,1.96137352386918
60,60,60,2,1.49379449962572,2.23382338633635
61,61,61,2,1.38374994355563,1.17251634715637
62,62,62,2,1.67737446606243,1.36721481119709
63,63,63,2,1.43748454374855,1.06672102868454
64,64,64,2,1.18204013468859,1.05070465780599
65,65,65,2,2.39826283891075,2.06259572204764
66,66,66,2,2.00197328748143,1.61086347544595
67,67,67,2,1.78677474343465,-1.93162163737053
68,68,68,2,1.72968708912911,-1.87937392050813
69,69,69,2,1.16491767924804,-1.50830820208594
